Name,Model,Latitude,Longitude,height,diameter,visible
WEA-D1,enercon-e-66.dae,48.219839,8.532344,95,70,1
WEA-D2,enercon-e-66.dae,48.221684,8.527035,95,70,1
WEA-D3,enercon-e-66.dae,48.221112,8.522828,95,70,1

