Name,Model,Latitude,Longitude,height,diameter
WEA-D1,WEA-2003.dae,48.219839,8.532344,95,70
WEA-D2,WEA-2003.dae,48.221684,8.527035,95,70
WEA-D3,WEA-2003.dae,48.221112,8.522828,95,70

