Name,Model,Latitude,Longitude,height,diameter
WEA-Wi1,enercon-e-66.dae,48.333583859073535,8.4815709652343,114,70
WEA-Wi2,enercon-e-66.dae,48.30379697168332, 8.505128266176827,85,70
WEA-Wi3,enercon-e-66.dae,48.30162378749774, 8.507068040397257,85,70
WEA-Wa1,enercon-e-66.dae,48.26924809683214, 8.511525397530457,74,70
WEA-Wa2,enercon-e-66.dae,48.26546244584389, 8.506698884123525,74,70
WEA-Wa3,enercon-e-66.dae,48.26275022502407, 8.507451146233569,74,70
WEA-Wa4,enercon-e-66.dae,48.25882273984648, 8.508323144156325,74,70

